ds,y
2023-01-01,49397
2023-02-01,106874
2023-03-01,257953
2023-04-01,327566
2023-05-01,263151
2023-06-01,88038
2023-07-01,34175
2023-08-01,21891
2023-09-01,15974
2023-10-01,18520
2023-11-01,28868
2023-12-01,63722
2024-01-01,287831
2024-02-01,840803
2024-03-01,1407397
2024-04-01,1531137
2024-05-01,1076757
2024-06-01,323672
2024-07-01,103345
2024-08-01,46555
2024-09-01,29778
2024-10-01,26804
2024-11-01,33246
2024-12-01,52354
2025-01-01,153769
2025-02-01,222765
2025-03-01,307124
2025-04-01,248338
2025-05-01,136318
2025-06-01,7582
